	CuBa-Cu-air		CuBa-Cu-400mA		Cu foil
9339.1993	1.29229759	9339.1993	1.28885515	9639.0877	1.3012901
9342.9019	1.29381707	9342.9019	1.2852454	9645.1124	1.301428
9346.6236	1.29390158	9346.6236	1.28611633	9651.1895	1.301486
9350.3643	1.29467904	9350.3643	1.28572077	9657.2744	1.3014586
9354.124	1.29570469	9354.124	1.28788207	9663.3896	1.301257
9357.9028	1.29723649	9357.9028	1.28713538	9669.5127	1.3011374
9361.7005	1.29912858	9361.7005	1.28843649	9675.6887	1.3011671
9365.5172	1.29961815	9365.5172	1.29096105	9681.8952	1.3011592
9369.353	1.29871186	9369.353	1.29311594	9688.1099	1.3011424
9373.2078	1.3001213	9373.2078	1.29611954	9694.3553	1.3010949
9377.0815	1.3001405	9377.0815	1.29692344	9700.6316	1.3012591
9380.9743	1.3027991	9380.9743	1.29838592	9706.9387	1.3014498
9384.8861	1.29958248	9384.8861	1.3003395	9713.2769	1.3014469
9388.8169	1.3000883	9388.8169	1.3028288	9719.6463	1.3015588
9392.7668	1.3014127	9392.7668	1.30257	9726.0242	1.3018987
9396.7356	1.3005852	9396.7356	1.3010456	9732.4561	1.3020058
